labour-party,Labour Party,696
liberal-democrats,Liberal Democrats,653
conservative-party,Conservative Party,636
uk-independence-party-ukip,UK Independence Party - UKIP,616
independent,Independent,360
british-national-party,British National Party,354
green-party,Green Party,333
english-democrats-party,English Democrats Party,134
christian-party-proclaiming-christs-lordship,Christian Party - Proclaiming Christ's Lordship,89
scottish-national-party,Scottish National Party,60
official-monster-raving-loony-party,Official Monster Raving Loony Party,49
plaid-cymru-party-of-wales,Plaid Cymru - Party of Wales,41
trade-unionist-and-socialist-coalition,Trade Unionist and Socialist Coalition,34
socialist-labour-party,Socialist Labour Party,23
scottish-green-party,Scottish Green Party,20
sinn-fein,Sinn Féin,19
alliance-alliance-party-of-northern-ireland,Alliance - Alliance Party of Northern Ireland,18
sdlp-social-democratic-labour-party,SDLP (Social Democratic & Labour Party),18
christian-peoples-alliance,Christian Peoples Alliance,18
ulster-conservatives-and-unionists,Ulster Conservatives and Unionists,17
democratic-unionist-party-d-u-p,Democratic Unionist Party - D.U.P.,17
national-front,National Front,17
respect-the-unity-coalition,Respect - The Unity Coalition,12
traditional-unionist-voice-tuv,Traditional Unionist Voice - TUV,10
scottish-socialist-party,Scottish Socialist Party,10
pirate-party-uk,Pirate Party UK,10
workers-revolutionary-party,Workers Revolutionary Party,7
liberal-party,Liberal Party,6
alliance-for-green-socialism,Alliance For Green Socialism,6
communist-party-of-britain,Communist Party of Britain,6
mebyon-kernow-the-party-for-cornwall,Mebyon Kernow - The Party for Cornwall,6
libertarian-party,Libertarian Party,5
solidarity-scotlands-socialist-movement,Solidarity - Scotland's Socialist Movement,5
independents-federation-uk,Independents Federation UK,4
the-animal-protection-party,The Animal Protection Party,4
citizens-for-undead-rights-and-equality,Citizens for Undead Rights and Equality,4
animals-count,Animals Count,3
peace-party-non-violence-justice-environment,"Peace Party - Non-violence, Justice, Environment",3
socialist-equality-party,Socialist Equality Party,3
jury-team,Jury Team,3
impact-party,Impact Party,3
your-right-to-democracy-party-limited,Your Right To Democracy Party Limited,3
communist-league-election-campaign,Communist League Election Campaign,2
equal-parenting-alliance,Equal Parenting Alliance,2
trust,Trust,2
city-independents,City INDEPENDENTS,2
all-the-south-party,All The South Party,2
lincolnshire-independents-lincolnshire-first,Lincolnshire Independents Lincolnshire First,2
you-party,You Party,2
magna-carta-party,Magna Carta Party,2
justice-anti-corruption-party,Justice & Anti-Corruption Party,2
democratic-nationalists,Democratic Nationalists,2
socialist-alternative,Socialist Alternative,2
common-sense-party,Common Sense Party,2
social-democratic-party,Social Democratic Party,2
christian-movement-for-great-britain,Christian Movement for Great Britain,2
best-of-a-bad-bunch,Best of a Bad Bunch,2
solihull-and-meriden-residents-association,Solihull and Meriden Residents Association,2
scrap-members-allowances,Scrap Members Allowances,2
scottish-jacobite-party,Scottish Jacobite Party,2
local-liberals-people-before-politics-party,Local Liberals People Before Politics Party,2
raving-loonies,Raving Loonies,2
