No,Surname,Other Names,Running Mate Surname,Running Mate Other Names,County Code,County Name,Party Code,Political Party Name,Abbrv,
57,ATHERU,KIAMBI JAMES THAMBURA,KUNYANGA,IRENE KATHURE,12,MERU,IND,INDEPENDENT,IND,
58,GATOBU,BONFACE KINOTI,NAFTALY,KATHURIMA,12,MERU,IND,INDEPENDENT,IND,
59,KABURU,WINFRED,MUNGANIA,LAIBON ISAIAH,12,MERU,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K,
60,MUNYA,PETER GATIRAU,NKUBITU,PETER KABERIA,12,MERU,14,PARTY OF NATIONAL UNITY,PNU,
61,MURUNGI,KIRAITU,NTUCHIU,TITUS MUTEA,12,MERU,27,JUBILEE PARTY,JP,
62,MWIRIA,KILEMI,MWITHALI,SHADRACK,12,MERU,67,MAENDELEO CHAP CHAP PARTY,MCCP,
63,KATHEE,KATHEE-GWA,NJAGI,JOACHIM,13,THARAKA - NITHI,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
64,M'NKIRIA,PETKAY SHEN MIRITI,ICHENGA,GERALD MUGAO,13,THARAKA - NITHI,IND,INDEPENDENT,IND,
65,MBAKA,CRISPUS MWENDA,NJAGI,ARNOLD MICHENI,13,THARAKA - NITHI,IND,INDEPENDENT,IND,
66,NJUKI,ONESMUS MUTHOMI,KAGWIMA,FRANCIS NYAMU,13,THARAKA - NITHI,27,JUBILEE PARTY,JP,
67,RAGWA,SAMWEL MBAE,MATE,ELIUD MURITHI,13,THARAKA - NITHI,1,NATIONAL RAINBOW COALITION-KENYA,NARC-KENYA,
68,KITHINJI,KIRAGU,KATHIGA,ELIAS NJERU,14,EMBU,14,PARTY OF NATIONAL UNITY,PNU,
69,KIVUTI,LENNY MAXWELL,KATHURI,EMILIO MUREITHI,14,EMBU,67,MAENDELEO CHAP CHAP PARTY,MCCP,
70,NJERU,LEONARD MURIUKI,KARUCU,SYLVESTER GAKUMU,14,EMBU,1,NATIONAL RAINBOW COALITION-KENYA,NARC-KENYA,
71,NJIRU,CYRUS,NJERU,EDITH ROSELINE,14,EMBU,IND,INDEPENDENT,IND,
72,NJUKI,PETER NJAGI,IRERI,JOSEPH MURIITHI,14,EMBU,13,DEMOCRATIC PARTY OF KENYA,DP,
73,WAMBORA,MARTIN NYAGA,NJERU,DAVID KARIUKI,14,EMBU,27,JUBILEE PARTY,JP,
74,MALOMBE,DR JULIUS MAKAU,MUSEE,AGNES KAMBUA JOHN,15,KITUI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K,
75,MUSILA,DAVID,MALONZA,PENINAH,15,KITUI,IND,INDEPENDENT,IND,
76,NGILU,CHARITY KALUKI,NZAU,DR GIDEON WATHE,15,KITUI,29,NATIONAL RAINBOW COALITION,NARC,
77,KIALA,BERNARD MUIA TOM,MUTULA,EVELYN MWENDE,16,MACHAKOS,IND,INDEPENDENT,IND,
78,LEMI,MUIA JEREMIAH,KARANJA,JOHN NGIGI,16,MACHAKOS,27,JUBILEE PARTY,JP,
79,MUTUA,ALFRED NGANGA,MALITI,FRANCIS WAMBUA,16,MACHAKOS,67,MAENDELEO CHAP CHAP PARTY,MCCP,
80,NDETI,WAVINYA,MATHUKI,PETER MUTUKU,16,MACHAKOS,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K,
81,KIBWANA,KIVUTHA,MWAU,ADELINA NDETO,17,MAKUENI,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K,
82,KIILU,KYENGO BERNARD,KALI,URBANUS NGAO,17,MAKUENI,69,LIBERAL DEMOCRATIC PARTY,LDP,
83,MASIKA,DAVID WAMBUA JOEL,MUTISYA,EMMANUEL MUSAU,17,MAKUENI,40,NEW DEMOCRATS,ND,
84,NDAMBUKI,GIDEON MUSYOKA,MAOKA,JENIFFER KOKI,17,MAKUENI,27,JUBILEE PARTY,JP,
85,BADILISHA,MOSES NDIRANGU KIARIE,KIRIKA,WAITHAKA MWANGI,18,NYANDARUA,IND,INDEPENDENT,IND,
86,KANJA,FRANCIS MUCHINA,KIMONE,PHILIP KARIUKI,18,NYANDARUA,67,MAENDELEO CHAP CHAP PARTY,MCCP,
87,KIMEMIA,FRANCIS THUITA,MBUTHIA,CECILA WANJIRU,18,NYANDARUA,27,JUBILEE PARTY,JP,
88,MWANGI,DANIEL WAITHAKA,GATHIMBA,PETER MWANGI,18,NYANDARUA,IND,INDEPENDENT,IND,
89,GAKURU,PATRICK WAHOME,KAHIGA,EDWARD MUTAHI,19,NYERI,27,JUBILEE PARTY,JP,
90,GITHAIGA,SAMWEL WAMATHAI,COCORICO,E GITHINJI KINYANJUI,19,NYERI,IND,INDEPENDENT,IND,
91,MUNENE KAIRU,PATRICK MAINA,NJOORI,MARY NJERI,19,NYERI,13,DEMOCRATIC PARTY OF KENYA,DP,
92,KAGAI,BEDAN MURIITHI,RUITAH,DOROTHY WANJA,20,KIRINYAGA,IND,INDEPENDENT,IND,
93,KARUA,MARTHA WANGARI,GITARI,JOSEPH GACHOKI,20,KIRINYAGA,1,NATIONAL RAINBOW COALITION-KENYA,NARC-KENYA,
94,MACHARIA,KENNEDY KARANI,NYAGA,KELVIN MUNENE,20,KIRINYAGA,67,MAENDELEO CHAP CHAP PARTY,MCCP,
95,NDATHI,JOSEPH KATHURI,GACHUGO,STANLEY KITHAKA,20,KIRINYAGA,IND,INDEPENDENT,IND,
96,WAIGURU,ANNE MUMBI,NJAGI,PETER NDAMBIRI,20,KIRINYAGA,27,JUBILEE PARTY,JP,
97,MWANGI,MOSES NDUNGU,WANJOHI,FESTUS MITHI,21,MURANG'A,52,MZALENDO SABA SABA PARTY,MSS,
98,MWANGI,WA-IRIA,KAMAU,JAMES MAINA,21,MURANG'A,27,JUBILEE PARTY,JP,
99,BABAYAO,FERDINARD NDUNGU WAITITU,NYORO,JAMES KARANJA,22,KIAMBU,27,JUBILEE PARTY,JP,
100,GITAU,WILLIAM KABOGO,GITHINJI,GERALD GAKUHA,22,KIAMBU,IND,INDEPENDENT,IND,
101,KANYANJA,GAKURU,MUTURI,EVAN MUMU,22,KIAMBU,67,MAENDELEO CHAP CHAP PARTY,MCCP,
102,NJUGUNA,JAMES NGANGA,WAMBUI,PAULINE,22,KIAMBU,IND,INDEPENDENT,IND,
103,KIYONGA,JOHN MUNYES,LOKOEL,PETER EKAI,23,TURKANA,27,JUBILEE PARTY,JP,
104,NANOK,JOSPHAT KOLI,EMURIA,LOTETHIRO PETER,23,TURKANA,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
105,KITALEI,SIMON KACHAPIN,LOTEE,TITUS,24,WEST POKOT,27,JUBILEE PARTY,JP,
106,LONYANG'APUO,JOHN KROP,ATUDONYANG,NICHOLAS OWON KPAR,24,WEST POKOT,33,KENYA AFRICAN NATIONAL UNION,KANU,
107,LENGOIBONI,GABRIEL KIMOROKO,LEREMORE,THOMAS,25,SAMBURU,33,KENYA AFRICAN NATIONAL UNION,KANU,
108,LENOLKULAL,MOSES KASAINIE,LESSETO,JULIUS LAWRENCE,25,SAMBURU,27,JUBILEE PARTY,JP,
109,LESRIMA,SIMEON SAIMANGA,LEMARKAT,JOSEPH,25,SAMBURU,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
110,BISAU,MAURICE KAKAI,MUTAI,SIMON KIPKOECH,26,TRANS NZOIA,27,JUBILEE PARTY,JP,
111,KHAEMBA,PATRICK SIMIYU E S,KIPTOO KENEI TARUS,STANLEY,26,TRANS NZOIA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA,
112,MBURU,JOSEPH MBUGUA,MASIKA,SAMWEL FUREGI,26,TRANS NZOIA,2,THE NATIONAL VISION PARTY,NVP,
113,WAFULA,MOSES KHAOYA,WEKESA,REDEMPTA K ' SIRO,26,TRANS NZOIA,IND,INDEPENDENT,IND,
114,WANYONYI,ANDREW MKHISA,KIRUHI,PROTAS CHEMONGES,26,TRANS NZOIA,62,AMANI NATIONAL CONGRESS,ANC,
115,BUNDOTICH,ZEDEKIAH BUZEKI KIPROP,CHERUIYOT,SAMSON KIPKOSGEI,27,UASIN GISHU,IND,INDEPENDENT,IND,
116,MANDAGO,JACKSON KIPLAGAT,KIPROTICH,DANIEL KIPLAGAT,27,UASIN GISHU,27,JUBILEE PARTY,JP,
117,BIWOTT,TIMOTHYT KIPCHUMBA,KIPLAGAT,FAITH JEPKEMOI,28,ELGEYO MARAKWET,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
118,CHANGWONY,KIPLAGAT MOSES,CHEPKITONY,LUCAS KIPKOSGEI,28,ELGEYO MARAKWET,IND,INDEPENDENT,IND,
119,CHELIMO,ANTHONY KIPKOGEE,TANUI,SAMUEL KIMUTAI,28,ELGEYO MARAKWET,IND,INDEPENDENT,IND,
120,KOMEN,ABSOLOM BIWOTT,CHEBOI,ISAIAH,28,ELGEYO MARAKWET,33,KENYA AFRICAN NATIONAL UNION,KANU,
121,TOLGOS,ALEX TANUI,ROTICH,WISLEY KIPYEGON,28,ELGEYO MARAKWET,27,JUBILEE PARTY,JP,
122,KIPKETER,DANIEL,CHESANG,AMOS KIPRUTO,29,NANDI,33,KENYA AFRICAN NATIONAL UNION,KANU,
123,KOECH,NICHOLAS TIROP,NKANAE,NEHEMIAH EREU KIPROTICH,29,NANDI,IND,INDEPENDENT,IND,
124,SANG,STEPHEN KIPYEGO,MITEI,DR YULITA CHEBOTIP,29,NANDI,27,JUBILEE PARTY,JP,
125,SEREM,ANDERSON KIBET,KIPLIMO,CORNELIUS ROTICH,29,NANDI,IND,INDEPENDENT,IND,
126,CHEBON,ISAAC KIPROP,BOMETT,LAWRENCE KIPROP,30,BARINGO,33,KENYA AFRICAN NATIONAL UNION,KANU,
127,KIPTIS,STANLEY K,KURUI,JACOB CHEPKWONY,30,BARINGO,27,JUBILEE PARTY,JP,
128,IRUNGU,JOSHUA WAKAHORA,BILIHA,PATRICK WAIGWA,31,LAIKIPIA,27,JUBILEE PARTY,JP,
129,MURIITHI,NDIRITU,MWANIKI,JOHN MATHENGE,31,LAIKIPIA,IND,INDEPENDENT,IND,
130,BEN,PAUL NJOROGE,KERAMA,ENOCK NYANARO,32,NAKURU,33,KENYA AFRICAN NATIONAL UNION,KANU,
131,KARIUKI,ISAIAH GICHANGA,GACHUIRI,BERNARD WARUI,32,NAKURU,IND,INDEPENDENT,IND,
132,KINYAJUI,LEE MAIYANI,KORIR,ERICK KIPKOECH,32,NAKURU,27,JUBILEE PARTY,JP,
133,KOROS,PETER KIPLANGAT,MICHOMA,JAMES MACHUKA GETUNO,32,NAKURU,54,CHAMA CHA MASHINANI,CCM,
134,MUNGAI,JAMES KIARIE,KARANJA,STANLEY CHEGE,32,NAKURU,IND,INDEPENDENT,IND,
135,MUTUTHO,JOHN MICHAEL NJENGA,LUKA,JACOB OGETII,32,NAKURU,IND,INDEPENDENT,IND,
136,MUSUNI,JOSEPH K TIAMPATI OLE,OLTETIA,WILLIAM KENTEIYIA,33,NAROK,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
137,OLE,KETURET NTUTU,ROP,KIBET WELDON,33,NAROK,54,CHAMA CHA MASHINANI,CCM,
138,TUNAI,SAMUEL KUNTAI,ARUASA,EVALYN CHEPKIRUI,33,NAROK,27,JUBILEE PARTY,JP,
139,LENKU,JOSEPH JAMA OLE,MOSHISHO,MARTIN MARTINE,34,KAJIADO,27,JUBILEE PARTY,JP,
140,LIVONDO,DANIEL MPUTE NINA,SIDAMAI,KENNEDY THIONGO,34,KAJIADO,14,PARTY OF NATIONAL UNITY,PNU,
141,OLE NKEDIANYE,DAVID KEPUE,NTIATI,PAUL MPUTE OLE,34,KAJIADO,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
142,CHEPKWONY,PAUL KIPRONO,KIKWAI,SUSAN CHEPKOECH,35,KERICHO,27,JUBILEE PARTY,JP,
143,KETER,JONAH KIPKEMOI,ROTICH,SAMUEL KIMUTAI,35,KERICHO,33,KENYA AFRICAN NATIONAL UNION,KANU,
144,LABOSO,JOYCE CHERONO,BARCHOK,HILLARY KIPNGENO,36,BOMET,27,JUBILEE PARTY,JP,
145,RUTTO,ISAAC KIPRONO,LANGAT,GEOFREY KIPRONO,36,BOMET,54,CHAMA CHA MASHINANI,CCM,
146,KANYANYA,SULEIMAN SUMBA,SONGA,HARRY YOUNG,37,KAKAMEGA,33,KENYA AFRICAN NATIONAL UNION,KANU,
147,KHALWALE,BONI,CHILONGO,JAMES PAUL LUSAMAMBA,37,KAKAMEGA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA,
148,MURULI,MABLE,MARANI,JOHN,37,KAKAMEGA,27,JUBILEE PARTY,JP,
149,OPARANYAH,WYCLIFFE AMBETSA,KUTIMA,PHILIP MUSEVE,37,KAKAMEGA,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
150,SAKWA,MICHAEL OSUNDWA,SUNGUTI,CALEB AMONDO,37,KAKAMEGA,62,AMANI NATIONAL CONGRESS,ANC,
151,AKARANGA,EPAINITOUS MOSES,IMBUNYA,JOSEPH MUHADIA,38,VIHIGA,25,PROGRESSIVE PARTY OF KENYA,PPOK,
152,BUTIKO,ENOSI KENNEDY,LUBANGA,CASTRO,38,VIHIGA,64,UNITED DEMOCRATIC PARTY,UDP,
153,CHANZU,YUSUF KIFUMA,NYONJE,ELIAS BILLY,38,VIHIGA,62,AMANI NATIONAL CONGRESS,ANC,
154,OGWERO,JOSPHAT AMADI,ODUK,HELLEN ANYISO OGINGA,38,VIHIGA,IND,INDEPENDENT,IND,
155,OTTICHILO,WILBER KHASILWA,LUMUMBA,PATRICK SAISI,38,VIHIGA,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
156,KHANGATI,ALFRED,NANGALAMA,RATCLIFFE M,39,BUNGOMA,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
157,LUSAKA,KENNETH MAKELO,MOYWO,HILLARY CHONGWONY,39,BUNGOMA,27,JUBILEE PARTY,JP,
158,MUTORO,STEPHEN SIMIYU,FWAMBA,EVANS JUMA,39,BUNGOMA,62,AMANI NATIONAL CONGRESS,ANC,
159,NDURUCHI,WAKHUNGU JIM,CHESHARI,KENNEDY CHEPYAGAN,39,BUNGOMA,IND,INDEPENDENT,IND,
160,WANGAMATI,WYCLIFFE WAFULA,NGOME,CHARLES KIBANANI,39,BUNGOMA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA,
161,KIDWOLI,DANIEL BARASA,IMOITE,JOHN OTEE,40,BUSIA,27,JUBILEE PARTY,JP,
162,MONDOH,ALOYSIUS OKOTCH,JUMA,ASMINI,40,BUSIA,8,RESTORE AND BUILD KENYA,RBK,
163,NYONGESA,OTUOMA PAUL,ABWAKU,SOLOMON AKADAKE,40,BUSIA,IND,INDEPENDENT,IND,
164,OJAAMONG,SOSPETERS ODEKE,OKHOBA,MOSES MULOMI,40,BUSIA,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
165,OKWARA,BENJAMIN ONYANGO,BWAKAU,BERITA NASIRUMBI,40,BUSIA,28,MAENDELEO DEMOCRATIC PARTY,MDP,
166,OLOO,MICHAEL OTIENO,AMOLLO,EDGAR MUGA,40,BUSIA,23,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,FORD-KENYA,
167,OYATSI,FRANCIS LAWRENCE,OBWINI,EZRA OLOLA,40,BUSIA,64,UNITED DEMOCRATIC PARTY,UDP,
168,AKELLO,DAN SALIM ONGONGA,ODUOR,MILLICENT C ADHIAMBO,41,SIAYA,27,JUBILEE PARTY,JP,
169,AMOTH,CORNEL RASANGA,OKUMBE,JAMES OUKO,41,SIAYA,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
170,GUMBO,NICOLAS O,OCHOGO,TUBMUN OTIENO,41,SIAYA,IND,INDEPENDENT,IND,
171,ODHIAMBO,OMORO DANIEL,OGOLLA,ANTONY FREDRICK,41,SIAYA,IND,INDEPENDENT,IND,
172,WINJA,NOAH MIGUDO,WILLIAM,OCHIENG OTIENO,41,SIAYA,IND,INDEPENDENT,IND,
173,NYONG'O,PETER ANYANG',OWILI,MATHEW OCHIENG,42,KISUMU,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
174,OMOLO,PETER CHARLES OWINO,ONDIEK,PERES ADHIAMBO,42,KISUMU,62,AMANI NATIONAL CONGRESS,ANC,
175,OTIENO,CHRISTINE R ATIENO,WARIERO,ALOYCE ODIANGO,42,KISUMU,27,JUBILEE PARTY,JP,
176,RANGUMA,JACKTON NYANUNGO,KANANGA,EPHRAIM PHILIP ONYANGO,42,KISUMU,IND,INDEPENDENT,IND,
177,WAYIERA,DAVID OTIENO,MOBISA,SAMSON ABISAI,42,KISUMU,73,ALTERNATIVE LEADERSHIP PARTY OF,ALPK,
178,AWITI,CYPRIAN ARCHELIUS OTIENO,ORATA,HAMILTON ONYANGO,43,HOMA BAY,21,OKERNAYNAGEDEMOCRATIC MOVEMENT,ODM,
179,MISAMA,MEDO LUKE CALVINS,AMALA,MARK OLANG,43,HOMA BAY,IND,INDEPENDENT,IND,
180,ONYANGO,TOM OTIENO,OKOTH,MICHAEL OGOLLA,43,HOMA BAY,27,JUBILEE PARTY,JP,
unknown:9,MAGWANGA,JOSEPH O,,,43,HOMA BAY,,Unknown,Unknown,
181,GIBAGIRI,CHRISPINUS WEIRIA,MONANKA,SIMON WAMBURA,44,MIGORI,27,JUBILEE PARTY,JP,
182,MBOGO,GEORGE OCHILO AYACKO,CHACHA,LUCAS MOSENDA,44,MIGORI,IND,INDEPENDENT,IND,
183,OBADO,ZAKARIA OKOTH,MAHANGA,MWITA,44,MIGORI,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
184,OGALLO,SAMSON OWUOR,GABRIEL,KEMEGE TYSON,44,MIGORI,IND,INDEPENDENT,IND,
185,OKOTH,OTIENO JACK,MOHOCHI,KENNEDY MWITA,44,MIGORI,62,AMANI NATIONAL CONGRESS,ANC,
186,BAGWASI,CHARLES MARANGA,OIRERE,BORORO ONYIMBO NAFTAL,45,KISII,5,CHAMA MWANGAZA DAIMA,CMD,
187,MOGENI,KEPHA,OKIOMA,JULIUS MAKORI,45,KISII,25,PROGRESSIVE PARTY OF KENYA,PPOK,
188,NYABERI,JUSTRY P LUMUMBA,BIRUNDU,CHARLES ONYAMBU,45,KISII,12,WIPER DEMOCRATIC MOVEMENT- KENYA,WDM-K,
189,NYAMAO,SAMWEL NYACHWAYA,NYAGERO,DANIEL OGEMBO,45,KISII,IND,INDEPENDENT,IND,
190,NYAMWEYA,MANSON OYONGO,MAISIBA,TOM MARUBE,45,KISII,9,KENYA NATIONAL CONGRESS,KNC,
191,OBURE,CHRISTOPHER MOGERE,NYAUNDI,ALBERT MBAKA,45,KISII,27,JUBILEE PARTY,JP,
192,OMBOTO,BONIFACE,GAI,OUKO ROBERT,45,KISII,67,MAENDELEO CHAP CHAP PARTY,MCCP,
193,ONGWAE,JAMES ELVIS OMARIBA,MAANGI,JOASH ARTHUR,45,KISII,21,ORANGE DEMOCRATIC MOVEMENT,ODM,
